line_no,work_shift,worker_years,work_min,temp_c,humid_percent,gauge_a,gauge_b,gauge_c,is_defect
2호기,밤,2,22.4,21.9,55.3,101.79,207.19,51.57,0
1호기,낮,,36.8,30.7,47.7,104.16,205.43,47.84,0
1호기,낮,10,33.8,20.2,48.9,109.97,219.88,46.01,0
3호기,밤,10,26.7,27.6,40.5,121.83,209.66,53.64,0
2호기,밤,8,25.8,20.2,62.7,96.47,190.39,49.07,0
3호기,밤,7,27.6,22.8,34.8,71.67,203.89,44.57,0
3호기,낮,3,26.9,26.3,43.7,100.59,197.75,46.23,0
2호기,낮,2,27.3,24.1,42.1,103.01,170.76,49.28,0
1호기,낮,1,31.5,23.3,54.2,122.89,222.00,63.03,0
2호기,낮,10,20.9,22.9,30.9,87.20,239.59,54.76,0
3호기,낮,0,25.7,28.6,45.0,103.67,220.56,41.65,0
3호기,밤,3,34.8,21.1,62.7,103.80,193.42,41.91,0
2호기,밤,8,29.0,20.8,45.0,97.45,188.51,49.13,0
3호기,밤,5,22.8,26.3,49.6,85.73,228.26,53.24,0
1호기,밤,9,25.8,25.2,52.7,96.35,159.19,52.22,0
2호기,낮,15,23.5,26.2,33.6,108.95,244.34,51.99,0
3호기,밤,11,33.9,23.0,66.1,99.45,227.20,58.93,0
3호기,밤,7,25.3,21.6,56.9,103.14,196.19,58.48,0
1호기,밤,7,36.7,18.0,42.9,86.50,188.09,51.90,0
3호기,낮,11,20.8,23.5,44.5,82.68,197.09,46.12,0
3호기,밤,8,27.8,21.5,54.7,99.26,193.85,57.03,0
2호기,낮,14,29.3,26.9,46.9,116.58,155.94,59.06,0
3호기,낮,6,23.3,21.1,45.5,107.94,204.46,57.22,0
1호기,밤,5,28.9,26.7,49.2,107.37,160.80,51.32,0
3호기,낮,9,37.9,26.4,60.2,100.41,144.22,44.30,0
1호기,낮,4,29.7,28.6,65.1,100.06,197.34,52.58,0
2호기,밤,16,36.8,23.4,65.4,100.53,223.42,46.60,0
3호기,밤,12,27.1,27.2,53.6,83.35,210.53,54.45,0
3호기,밤,0,37.4,27.7,58.9,89.07,204.00,49.07,0
1호기,밤,13,26.7,17.4,23.6,115.47,216.95,56.00,0
3호기,밤,15,27.3,25.8,69.0,87.92,202.25,52.32,0
3호기,낮,6,32.5,24.9,51.9,88.34,209.88,52.83,0
2호기,낮,1,35.6,26.3,51.6,86.47,220.20,48.27,0
2호기,밤,0,28.6,23.0,44.0,88.08,209.77,56.34,0
3호기,밤,1,34.8,20.2,55.0,110.76,231.59,47.32,0
3호기,낮,0,31.2,25.3,56.3,72.59,220.43,42.08,0
3호기,밤,4,15.7,21.9,42.0,82.91,188.81,53.32,0
3호기,낮,13,34.9,28.3,55.2,91.67,225.58,44.06,0
1호기,낮,3,22.5,28.4,61.0,103.53,230.97,38.28,0
2호기,밤,11,34.2,23.3,39.2,95.36,189.83,64.45,0
1호기,밤,5,31.2,24.9,72.9,101.58,174.27,35.30,0
3호기,낮,11,25.3,22.8,54.6,108.56,192.45,48.47,0
3호기,낮,14,30.9,23.8,64.8,95.07,200.01,46.32,0
3호기,낮,7,33.4,21.3,63.7,104.77,243.22,48.50,0
1호기,낮,6,37.0,23.7,39.5,93.15,172.42,48.29,0
2호기,밤,11,33.3,20.3,46.7,91.36,172.18,42.38,0
2호기,낮,0,28.1,26.4,63.2,110.17,150.46,54.17,0
2호기,낮,14,33.2,26.8,30.5,106.80,181.08,44.37,0
3호기,밤,1,33.7,25.3,31.0,121.17,205.27,44.40,1
1호기,밤,5,39.6,25.0,57.2,100.01,223.47,46.40,0
3호기,밤,16,29.5,27.7,61.8,121.79,206.74,49.17,0
3호기,밤,9,31.7,28.8,60.6,101.27,196.56,54.57,0
1호기,낮,8,27.2,27.8,37.3,110.17,182.80,46.35,0
1호기,낮,11,29.7,28.6,44.1,98.41,211.55,45.75,0
3호기,밤,11,36.3,24.6,55.0,90.90,192.09,55.69,0
2호기,낮,16,,29.8,38.9,94.98,225.55,53.14,0
1호기,밤,6,31.9,27.6,46.5,94.98,159.59,53.24,0
3호기,낮,5,31.5,23.6,40.5,110.15,192.61,48.04,0
2호기,낮,16,30.9,21.2,59.6,109.00,190.04,54.08,0
2호기,낮,1,29.6,24.6,39.1,95.86,193.20,52.99,0
3호기,밤,15,35.2,22.7,57.7,94.01,172.25,45.69,0
2호기,낮,3,24.6,21.0,68.2,125.59,177.86,47.98,0
2호기,밤,8,40.0,28.1,60.1,89.96,219.25,48.94,0
1호기,낮,9,37.9,23.9,36.9,114.26,204.90,51.50,0
1호기,밤,2,27.0,23.8,55.1,104.69,164.61,42.40,0
3호기,밤,6,29.8,24.0,62.6,108.89,206.14,50.56,0
1호기,낮,0,23.2,26.9,55.5,94.87,185.84,52.45,0
3호기,밤,9,28.6,26.5,58.1,118.47,210.25,52.51,0
1호기,밤,9,26.5,25.6,44.0,74.52,175.64,52.64,0
2호기,낮,9,33.8,26.6,51.3,92.35,203.92,53.15,0
1호기,낮,13,34.9,23.5,54.4,88.42,205.12,53.61,0
3호기,낮,9,29.1,25.4,57.0,86.79,221.38,50.41,0
1호기,낮,15,35.2,25.0,48.5,107.40,211.97,54.54,0
3호기,낮,7,24.6,22.7,38.8,106.24,176.18,57.47,0
2호기,낮,16,31.6,24.7,60.2,90.95,215.39,45.83,0
1호기,밤,13,38.2,22.2,49.9,95.65,196.39,59.38,0
3호기,낮,16,25.3,25.1,57.5,106.22,197.27,50.33,0
1호기,밤,0,24.2,26.4,38.3,96.41,216.62,43.54,0
3호기,밤,11,26.5,25.3,40.1,102.40,238.77,53.08,0
1호기,밤,9,35.3,23.8,38.3,88.90,168.15,44.36,0
1호기,밤,13,27.8,29.8,68.6,121.32,165.93,57.40,0
1호기,낮,11,33.0,21.1,59.5,81.91,165.31,50.74,0
1호기,낮,16,30.1,20.8,55.6,114.81,228.57,51.41,0
2호기,낮,14,30.9,24.2,40.3,103.06,187.69,45.39,0
1호기,밤,9,27.1,23.1,46.3,100.79,204.21,47.99,0
3호기,낮,3,32.2,29.2,57.3,113.52,184.22,54.21,0
1호기,낮,6,25.8,22.3,48.8,86.20,195.27,52.57,0
1호기,낮,0,31.9,31.5,52.5,105.85,194.95,50.77,0
1호기,밤,3,28.5,30.1,60.8,92.40,191.53,45.98,0
1호기,낮,,19.2,24.9,47.8,92.43,214.35,44.28,0
1호기,밤,9,27.7,26.9,40.6,95.74,206.68,54.38,0
1호기,밤,13,28.9,30.8,40.2,93.52,175.89,41.85,0
1호기,낮,2,26.8,23.1,52.9,89.41,200.61,46.94,0
3호기,밤,5,22.8,24.7,43.0,99.48,168.12,55.88,0
2호기,밤,8,32.1,24.4,40.1,128.42,234.40,44.39,0
1호기,밤,9,21.5,24.0,42.5,111.70,190.63,52.20,0
2호기,밤,10,29.9,27.8,31.0,102.77,181.97,52.25,0
2호기,밤,8,28.4,28.1,45.4,94.93,191.75,55.38,0
2호기,밤,15,31.6,25.7,33.1,118.80,235.95,49.04,0
1호기,낮,0,32.2,26.6,43.6,97.77,237.10,35.86,0
1호기,낮,8,38.2,22.0,60.2,104.65,191.61,47.41,0
1호기,밤,6,25.0,21.9,36.7,103.41,202.16,57.11,0
2호기,낮,5,29.6,21.8,41.6,90.99,168.27,45.90,0
3호기,낮,4,28.5,26.7,49.5,115.86,218.90,52.67,0
1호기,밤,2,29.7,20.8,41.9,100.29,215.64,30.86,0
1호기,밤,2,41.9,23.3,48.0,110.95,197.01,40.28,0
1호기,밤,13,41.3,18.5,49.5,107.20,199.93,51.10,0
1호기,낮,1,33.3,23.2,51.6,85.40,189.63,51.07,0
2호기,밤,2,,28.3,40.2,92.09,219.50,48.17,0
1호기,낮,0,24.5,31.0,59.6,89.69,211.75,40.33,0
1호기,밤,13,31.5,25.4,37.1,88.34,191.92,45.39,0
1호기,낮,8,30.2,22.8,49.7,106.36,209.45,45.27,0
1호기,낮,8,32.0,23.9,45.9,107.09,156.98,44.37,0
1호기,낮,4,36.7,22.9,42.9,113.42,190.37,57.34,0
2호기,낮,8,26.6,20.3,52.5,101.60,181.40,51.25,0
3호기,낮,7,30.3,22.8,59.8,104.63,209.23,53.01,0
2호기,낮,0,37.8,36.0,59.4,110.45,205.51,44.96,1
2호기,낮,11,35.4,22.2,45.3,102.83,200.75,45.39,0
2호기,밤,14,32.2,27.5,42.6,90.01,171.73,39.47,0
3호기,낮,11,24.5,23.2,47.1,103.45,182.26,49.84,0
1호기,낮,14,27.4,26.4,56.5,102.98,185.95,45.82,0
2호기,낮,0,29.5,24.8,54.1,91.27,187.48,58.68,0
3호기,밤,15,21.0,25.8,47.5,106.72,201.95,43.21,0
2호기,밤,7,27.2,27.3,41.0,80.76,185.14,53.22,0
2호기,밤,16,27.4,24.5,59.8,86.76,199.84,40.26,0
1호기,밤,8,32.6,18.5,51.8,104.68,188.47,49.99,0
3호기,밤,14,18.2,34.3,40.5,88.00,173.47,46.28,1
3호기,낮,12,31.5,32.3,47.9,103.00,172.22,52.64,0
1호기,낮,4,27.7,26.6,54.7,85.64,205.82,49.77,0
3호기,낮,10,34.8,25.7,59.4,113.93,177.46,50.99,0
1호기,낮,1,19.3,25.2,54.5,109.52,175.84,53.46,0
2호기,낮,12,27.9,26.3,58.4,110.04,193.34,48.63,0
1호기,밤,12,35.8,26.7,43.9,99.18,171.99,44.46,0
3호기,낮,4,26.7,23.2,26.3,111.21,195.82,48.89,0
1호기,낮,10,33.2,26.3,61.3,117.86,216.50,56.09,0
2호기,밤,8,29.2,25.3,64.5,109.41,231.45,50.29,0
3호기,밤,2,28.3,22.6,41.7,83.39,166.10,49.61,0
3호기,낮,8,29.6,24.8,57.8,126.12,174.82,53.64,0
3호기,밤,3,30.8,22.6,51.8,95.49,182.32,51.61,0
2호기,밤,6,38.5,27.3,56.5,116.67,193.46,49.62,0
3호기,낮,7,38.6,23.3,45.3,99.37,238.28,51.38,0
3호기,밤,6,39.0,22.7,47.1,91.22,224.62,42.41,0
3호기,낮,9,26.1,22.7,83.9,90.86,225.16,44.03,0
1호기,낮,,38.7,26.4,44.8,110.76,196.09,45.28,0
1호기,낮,12,27.9,21.7,61.9,106.58,210.06,53.56,0
1호기,낮,14,24.3,29.3,33.9,103.35,211.77,57.16,0
2호기,낮,16,,23.1,42.4,99.41,153.06,52.42,0
3호기,낮,2,32.7,28.1,40.4,101.15,202.10,48.78,0
1호기,낮,0,28.3,26.4,39.7,102.54,198.29,56.12,0
3호기,낮,8,35.4,27.2,53.8,94.63,240.75,54.68,0
1호기,밤,13,17.5,28.0,57.5,97.30,192.58,53.66,0
1호기,밤,16,32.3,20.7,37.9,95.05,200.60,46.20,0
2호기,낮,9,40.9,26.6,45.8,99.50,182.21,54.55,0
2호기,밤,11,28.5,24.0,60.9,106.85,199.71,47.56,0
2호기,밤,7,34.2,25.1,49.2,87.29,212.39,46.49,0
1호기,낮,12,21.9,27.3,35.6,96.16,164.70,45.49,0
2호기,낮,1,27.9,24.9,70.5,94.23,217.75,56.51,0
2호기,밤,10,34.2,32.8,41.1,96.41,179.74,52.17,0
1호기,밤,9,21.2,23.6,38.3,90.40,214.06,52.88,0
1호기,낮,3,27.7,29.0,42.6,85.13,195.23,54.45,0
3호기,낮,5,26.8,26.0,49.8,101.06,196.74,45.69,0
1호기,밤,5,43.8,24.2,44.0,99.40,197.36,64.17,0
1호기,낮,15,34.0,25.9,66.1,87.94,218.53,45.79,0
2호기,밤,0,26.4,20.6,43.8,111.05,207.38,43.22,0
2호기,밤,11,29.8,30.4,66.4,115.08,173.48,47.49,0
1호기,밤,3,26.5,27.3,34.2,100.54,198.67,51.13,0
2호기,낮,3,35.6,22.9,57.0,110.29,211.99,41.65,0
1호기,밤,11,33.5,26.0,53.2,105.70,169.13,43.93,0
3호기,밤,5,36.9,26.1,44.5,99.98,168.28,42.10,0
1호기,낮,16,23.7,25.9,33.0,99.63,207.92,38.96,0
1호기,밤,1,46.6,34.0,44.8,88.00,206.72,57.93,1
2호기,밤,4,24.4,22.5,53.0,107.46,214.24,47.92,0
1호기,밤,2,28.7,23.7,43.6,95.05,208.25,48.21,0
1호기,낮,15,19.5,25.5,59.0,84.09,201.24,47.66,0
1호기,낮,5,34.1,24.3,52.2,118.78,222.51,51.05,0
3호기,밤,6,24.5,25.9,48.6,106.59,203.89,46.69,0
2호기,낮,14,30.0,22.5,51.1,103.09,239.12,47.31,0
1호기,밤,11,37.7,23.1,42.0,86.76,194.15,49.35,0
2호기,낮,8,36.8,24.2,49.0,99.57,220.92,46.96,0
3호기,낮,10,28.4,27.0,43.1,97.87,220.17,50.07,0
1호기,낮,9,29.0,27.4,66.0,106.84,176.33,49.94,0
2호기,낮,0,41.6,26.1,51.2,107.76,198.43,48.57,0
2호기,낮,11,31.4,30.3,34.8,97.23,194.09,53.35,0
2호기,밤,4,22.9,24.6,51.3,94.08,193.54,63.69,0
2호기,낮,10,24.8,22.6,40.4,96.39,214.06,53.34,0
1호기,밤,,22.9,25.6,42.1,95.39,219.10,45.21,0
3호기,밤,,23.1,23.7,44.8,115.02,184.52,57.28,0
2호기,밤,0,31.5,28.3,42.7,92.65,214.26,49.28,0
3호기,밤,,28.9,24.7,66.1,95.11,174.37,51.25,0
2호기,밤,3,35.1,24.9,33.5,95.83,171.05,42.82,0
3호기,낮,4,32.0,23.2,41.7,90.25,206.31,48.74,0
3호기,밤,14,26.3,23.5,61.1,95.15,209.72,54.27,0
3호기,밤,0,22.6,24.5,57.7,103.82,193.68,50.05,0
3호기,낮,14,28.3,28.1,47.9,91.40,143.69,39.73,0
1호기,밤,7,17.7,27.6,83.2,83.80,238.99,55.07,0
1호기,밤,7,27.3,22.3,54.3,97.48,213.54,46.51,0
2호기,밤,14,32.7,26.8,53.8,98.56,185.47,41.96,0
3호기,밤,2,16.1,24.3,25.9,92.19,188.99,55.37,0
1호기,낮,13,37.7,26.3,47.3,114.23,160.31,56.20,0
2호기,밤,1,32.0,25.8,44.0,87.00,207.34,46.35,0
1호기,밤,2,34.0,22.6,33.6,99.01,211.80,51.87,0
1호기,낮,0,32.6,18.9,52.4,87.31,205.99,49.30,0
1호기,밤,12,25.4,22.5,63.5,83.46,247.54,55.52,0
2호기,밤,2,20.8,26.3,46.8,102.06,186.87,59.91,0
3호기,밤,16,23.5,19.2,55.0,100.94,230.79,54.80,0
3호기,밤,6,31.0,24.6,68.2,109.85,213.03,52.84,0
2호기,낮,13,27.2,25.4,34.6,103.78,185.45,46.17,0
3호기,밤,13,22.6,24.3,55.0,106.65,206.07,48.26,0
1호기,낮,2,41.5,23.9,52.1,100.91,204.13,52.68,0
2호기,밤,9,,24.1,31.2,104.47,197.90,51.20,0
1호기,낮,3,35.0,26.4,53.3,91.98,185.02,38.71,0
2호기,낮,13,28.3,22.4,59.7,109.45,199.31,47.31,0
1호기,낮,16,28.7,31.3,46.2,107.67,207.60,52.52,0
1호기,낮,,34.5,26.5,57.0,98.62,192.48,63.89,0
3호기,낮,7,28.8,21.2,49.7,99.80,202.61,55.33,0
3호기,낮,12,34.5,23.2,47.8,130.08,200.90,52.51,0
1호기,밤,9,31.0,20.5,44.5,86.56,177.98,52.63,0
2호기,밤,6,38.1,31.0,62.5,110.50,211.67,50.51,0
1호기,낮,0,35.6,25.1,38.1,94.79,218.89,53.18,0
1호기,밤,15,33.4,30.3,32.6,101.78,188.44,46.59,0
3호기,낮,15,30.0,28.0,46.4,101.55,185.55,58.78,0
2호기,낮,7,27.2,31.0,47.7,87.70,198.59,50.02,0
2호기,밤,12,34.8,27.8,53.7,93.67,225.52,45.65,0
2호기,밤,2,28.8,29.0,42.0,95.38,210.23,44.32,0
1호기,낮,2,34.9,27.4,37.5,117.55,196.10,48.92,0
1호기,낮,7,31.5,19.5,59.3,107.38,143.62,49.67,0
1호기,낮,2,25.4,21.5,54.1,101.93,203.50,45.99,0
1호기,밤,9,38.6,24.4,52.2,112.59,196.53,46.99,0
3호기,낮,2,36.0,24.7,43.9,78.28,196.91,42.07,0
2호기,낮,2,32.3,20.8,48.2,118.10,175.81,43.32,0
3호기,밤,2,27.4,23.2,62.7,111.86,219.82,41.33,0
3호기,밤,11,35.0,28.5,51.1,99.32,203.77,38.13,0
1호기,밤,9,27.3,25.1,57.2,85.04,166.64,53.37,0
3호기,밤,13,24.8,21.2,44.3,90.95,157.04,52.14,0
1호기,밤,8,31.0,20.2,40.7,87.93,223.23,51.60,0
1호기,낮,11,30.6,25.6,56.5,93.31,196.30,46.46,0
3호기,낮,4,32.4,24.6,42.7,96.56,206.60,47.95,0
3호기,밤,13,23.4,25.3,61.2,93.25,209.67,50.15,0
3호기,밤,5,30.1,26.4,62.7,93.49,205.71,54.10,0
2호기,밤,5,25.3,26.7,45.6,92.16,206.60,55.45,0
3호기,낮,4,25.6,26.4,54.5,90.73,204.40,46.60,0
1호기,낮,4,34.6,29.7,21.7,106.30,199.18,50.92,0
3호기,밤,3,34.2,22.5,55.1,104.81,180.70,48.34,0
2호기,밤,10,18.9,25.0,33.1,100.66,199.86,49.40,0
1호기,낮,1,31.1,24.3,55.9,91.32,215.45,52.23,0
1호기,낮,3,37.5,24.5,50.7,84.46,212.89,48.13,0
1호기,낮,4,35.5,26.9,35.3,90.60,208.25,46.02,0
3호기,낮,,35.1,26.3,54.0,107.70,163.57,48.73,0
1호기,낮,7,24.7,20.6,50.1,97.17,182.30,45.01,0
2호기,밤,15,26.4,27.0,53.4,110.38,212.04,48.91,0
2호기,밤,8,34.4,26.4,58.1,110.91,212.85,43.27,0
2호기,밤,10,25.3,24.2,34.2,105.39,213.13,48.24,0
1호기,낮,3,28.6,23.2,43.8,109.55,202.35,53.90,0
1호기,낮,6,28.8,26.1,37.3,115.26,149.42,47.11,0
1호기,낮,5,33.4,24.3,69.0,86.37,199.72,64.30,0
2호기,밤,10,,23.8,57.6,93.60,189.91,60.71,0
2호기,낮,2,36.2,23.0,44.6,97.36,178.91,39.32,0
1호기,밤,2,33.9,25.3,63.6,87.80,206.07,52.72,0
1호기,낮,14,32.9,28.0,53.4,103.31,180.46,52.28,0
3호기,밤,15,32.1,20.2,46.4,65.80,180.42,49.08,0
2호기,밤,1,30.2,23.8,54.5,83.74,202.28,62.72,0
3호기,밤,3,26.6,29.8,56.7,101.11,201.26,54.84,0
1호기,낮,13,33.5,27.6,32.4,95.82,190.40,49.87,0
2호기,밤,16,28.3,25.2,45.8,110.51,197.93,48.83,0
3호기,낮,4,28.8,24.7,54.9,95.40,186.80,45.23,0
1호기,밤,13,37.0,27.5,53.3,105.89,206.00,47.34,0
1호기,낮,4,22.5,24.7,60.6,95.20,221.51,45.63,0
3호기,밤,13,24.2,24.8,38.3,101.86,182.06,48.42,0
2호기,밤,0,28.9,25.8,46.6,95.21,228.75,44.52,0
3호기,낮,14,26.0,25.2,34.4,105.02,174.06,50.36,0
2호기,낮,12,28.7,25.1,67.3,87.84,209.63,47.86,0
2호기,밤,16,26.6,24.9,51.7,113.86,200.45,57.31,0
1호기,밤,8,39.4,24.7,56.7,112.76,195.88,43.76,0
1호기,낮,4,26.9,22.8,48.5,104.52,164.08,48.72,0
2호기,밤,9,32.6,29.2,43.1,80.87,195.58,56.45,0
1호기,낮,8,17.7,22.0,51.6,111.30,168.71,48.10,0
2호기,밤,15,30.7,23.8,65.4,123.32,179.03,44.66,0
2호기,낮,15,26.7,26.0,60.4,96.15,192.87,55.35,0
3호기,밤,1,28.3,29.9,44.2,105.00,181.92,57.17,0
2호기,낮,7,32.0,24.0,56.1,98.17,211.09,50.68,0
1호기,낮,4,,27.8,46.9,80.77,206.94,49.50,0
1호기,밤,5,33.3,26.1,46.6,93.20,170.43,50.48,0
3호기,낮,,23.2,23.1,38.0,107.70,213.47,62.06,0
2호기,낮,16,36.5,31.1,36.5,97.77,229.75,52.18,0
3호기,낮,4,41.0,20.4,46.5,95.57,178.07,47.86,0
1호기,밤,2,31.0,27.5,55.6,105.20,226.55,54.86,0
3호기,밤,8,33.7,32.2,37.9,107.12,213.92,52.12,0
2호기,밤,15,29.4,21.2,41.3,107.50,225.76,47.22,0
2호기,낮,,34.0,23.4,56.5,118.32,229.60,55.08,0
2호기,밤,13,26.8,19.3,62.8,106.97,205.78,54.11,0
1호기,낮,4,29.0,21.9,41.8,96.17,164.31,51.52,0
3호기,밤,16,31.9,25.7,43.8,99.21,183.42,47.68,0
2호기,밤,7,32.0,23.2,44.3,98.92,194.72,39.89,0
1호기,낮,12,26.6,22.9,52.9,113.76,199.00,51.55,0
3호기,낮,7,29.8,25.8,53.6,107.82,184.44,47.64,0
3호기,낮,4,33.5,21.4,41.2,105.06,196.45,56.99,0
3호기,밤,8,25.0,24.6,46.7,92.08,214.54,47.83,0
3호기,밤,10,18.8,24.7,60.1,105.29,169.93,46.15,0
2호기,낮,16,31.3,30.0,51.0,104.23,202.09,47.03,0
3호기,낮,8,27.2,25.0,62.3,130.38,153.27,47.00,0
3호기,밤,16,29.6,26.8,46.3,99.90,211.25,43.99,0
1호기,낮,8,21.4,20.3,26.7,99.48,193.27,47.65,0
1호기,밤,12,26.0,28.1,52.2,97.99,178.06,47.82,0
3호기,밤,,29.9,28.5,59.1,102.62,169.11,50.88,0
3호기,밤,15,40.1,27.4,45.3,96.55,214.88,50.19,0
1호기,낮,7,26.1,21.0,57.6,102.19,257.46,52.50,0
2호기,밤,2,22.9,21.8,47.2,95.59,170.81,53.52,0
2호기,낮,0,38.2,27.4,52.4,100.03,206.15,55.22,0
2호기,낮,2,22.9,25.1,58.8,100.04,217.08,51.67,0
3호기,밤,7,40.3,28.3,55.3,94.03,187.55,48.30,0
2호기,밤,12,27.2,24.9,50.4,80.21,209.72,46.56,0
1호기,밤,11,24.3,27.0,44.1,95.85,167.00,48.63,0
3호기,낮,2,,25.2,44.0,94.89,232.36,53.96,0
2호기,밤,3,26.4,27.2,61.6,88.68,194.06,55.31,0
2호기,밤,1,29.5,22.5,57.4,117.92,212.92,58.93,0
1호기,밤,11,26.7,19.6,63.8,80.71,190.80,36.98,0
2호기,밤,2,39.6,22.6,59.4,100.24,191.37,45.80,0
2호기,낮,12,29.7,30.9,62.2,93.13,217.68,45.40,0
1호기,낮,10,36.9,25.2,69.5,97.29,216.21,58.11,0
3호기,밤,1,26.9,27.4,53.7,104.20,200.65,52.40,0
3호기,낮,9,33.4,21.2,42.3,97.19,147.41,55.18,0
1호기,밤,8,30.8,24.3,45.8,95.41,196.50,55.16,0
2호기,낮,11,32.4,25.3,45.0,98.81,195.35,50.87,0
1호기,밤,,35.3,20.4,71.1,105.35,179.46,56.29,0
1호기,밤,10,36.0,20.7,48.6,86.33,184.89,45.39,0
1호기,낮,2,35.9,22.0,56.0,97.61,212.46,51.73,0
1호기,밤,9,25.4,18.2,50.8,94.89,214.08,52.66,0
1호기,밤,,36.5,21.0,55.8,86.89,209.91,58.31,0
2호기,낮,7,25.5,25.5,50.5,112.17,190.00,44.22,0
1호기,밤,8,30.9,23.5,70.4,103.95,214.53,45.69,0
2호기,밤,,32.4,25.7,62.5,84.92,173.30,54.79,0
1호기,낮,2,20.0,26.0,64.1,107.35,207.06,61.80,0
3호기,밤,7,29.3,29.1,43.4,89.36,185.02,41.64,0
2호기,낮,4,33.5,22.9,30.3,108.29,169.51,46.62,0
3호기,낮,9,28.8,21.9,66.9,92.90,173.47,50.57,0
3호기,낮,14,32.6,22.6,33.3,105.47,197.58,49.18,0
3호기,밤,14,33.1,29.4,49.8,100.52,217.93,50.21,0
2호기,밤,16,28.5,25.3,43.5,97.92,186.96,52.93,0
2호기,밤,16,20.5,27.1,32.5,101.38,204.22,44.44,0
3호기,낮,5,26.6,24.2,33.2,95.54,207.05,54.32,0
1호기,낮,7,30.7,20.1,60.6,99.94,219.06,49.50,0
3호기,낮,14,22.5,22.1,47.5,88.98,155.52,59.58,0
3호기,낮,6,25.4,22.3,58.8,105.20,189.31,51.04,0
2호기,밤,5,24.7,24.4,46.2,102.86,198.99,50.89,0
1호기,낮,13,36.2,22.5,44.2,86.78,180.48,43.39,0
2호기,낮,12,24.1,25.7,40.5,102.96,180.39,48.11,0
3호기,밤,15,31.9,24.9,72.0,82.93,215.73,57.25,0
2호기,낮,6,36.4,30.0,45.7,95.05,198.69,45.68,0
3호기,밤,6,26.9,29.9,60.4,96.68,233.69,49.48,0
1호기,낮,5,29.4,28.1,47.0,111.42,189.45,39.95,0
1호기,밤,9,37.6,26.8,58.4,90.26,189.52,58.70,0
1호기,밤,15,40.2,28.2,52.5,87.07,177.20,48.53,0
3호기,밤,15,26.3,29.4,66.1,89.99,183.89,53.52,0
3호기,낮,5,37.9,25.2,58.3,108.74,184.31,42.15,0
1호기,낮,3,26.6,19.9,40.2,102.64,194.42,54.45,0
1호기,밤,11,26.5,25.7,30.4,96.78,177.75,43.68,0
1호기,낮,9,29.4,24.4,57.3,104.74,244.65,45.60,0
1호기,낮,7,35.1,24.7,44.6,105.73,217.17,43.32,0
3호기,밤,6,27.9,27.1,35.2,122.13,196.16,47.35,0
1호기,낮,13,36.9,25.2,47.2,83.26,212.22,39.74,0
1호기,밤,1,24.3,21.3,37.4,100.60,209.36,49.59,0
1호기,밤,7,37.7,27.4,43.9,84.54,202.75,49.61,0
1호기,밤,5,25.5,28.5,59.7,105.12,204.15,54.55,0
2호기,밤,6,21.3,29.0,56.1,81.16,217.71,43.80,0
2호기,밤,0,33.6,24.3,32.0,97.65,211.32,47.56,0
2호기,밤,8,29.7,19.9,46.5,89.52,177.96,45.42,0
3호기,낮,5,27.5,28.1,36.1,65.01,221.22,50.69,0
2호기,밤,8,32.6,30.1,36.1,120.84,184.57,49.95,0
2호기,낮,5,24.0,27.7,50.8,111.43,177.16,43.44,0
1호기,밤,10,29.1,23.8,45.1,93.44,182.64,48.35,0
3호기,밤,7,30.9,22.6,41.8,90.86,203.59,53.98,0
1호기,밤,0,29.5,27.4,45.9,103.69,214.52,41.58,0
2호기,낮,8,28.6,24.7,48.0,90.35,187.04,42.74,0
3호기,낮,11,37.1,24.3,62.4,79.82,202.61,47.56,1
3호기,밤,6,35.8,26.1,64.7,113.41,231.00,49.18,0
2호기,밤,10,31.4,25.6,37.5,88.22,190.32,49.83,0
1호기,낮,11,27.3,21.6,47.9,85.35,216.20,56.52,0
1호기,밤,13,34.4,31.4,52.0,97.10,211.06,43.93,0
1호기,낮,7,32.8,27.2,41.7,103.27,242.00,49.53,0
2호기,밤,5,32.3,25.7,63.5,99.11,200.87,48.52,0
1호기,밤,7,26.1,25.5,53.0,103.26,167.82,47.19,0
1호기,낮,2,35.9,28.7,35.6,114.64,216.17,54.20,0
2호기,밤,16,30.3,23.8,59.0,98.60,193.84,46.76,0
1호기,밤,7,26.6,21.4,57.1,92.37,182.18,51.78,0
3호기,낮,10,30.7,27.3,54.4,83.93,203.05,47.46,0
2호기,낮,11,27.3,28.3,54.1,109.65,208.97,49.62,0
2호기,밤,1,25.9,21.8,53.5,109.30,224.37,54.57,0
3호기,밤,0,27.9,27.8,52.2,96.47,222.01,43.90,1
2호기,낮,3,19.4,25.6,62.9,104.93,198.56,38.22,0
1호기,밤,15,28.5,24.1,47.1,90.42,199.38,45.13,0
2호기,낮,0,21.0,28.5,20.4,127.24,191.47,48.71,1
3호기,낮,12,23.7,23.5,54.5,99.61,183.71,44.81,0
1호기,낮,16,22.5,22.3,56.9,102.24,172.80,58.67,0
2호기,낮,0,25.8,26.6,43.9,107.34,196.69,42.96,0
1호기,낮,16,,23.2,65.5,92.92,209.77,56.22,0
3호기,밤,2,29.4,22.7,48.2,100.18,257.47,47.29,0
2호기,낮,12,27.1,26.5,48.4,98.79,237.97,51.78,0
1호기,낮,0,30.7,20.7,52.0,93.71,204.08,51.03,0
2호기,낮,5,31.0,26.8,47.9,113.64,215.52,55.77,0
