rain_mm_year,mean_temp,sun_hours,soil_kind,soil_ph,fertilizer,n_level,p_level,k_level,output_kg_per_ha
1427,12.2,1605,점토,4.9,질소,73.42,31.66,8.81,1912
1434,19.5,1663,점토,5.9,복합,68.09,45.34,26.23,2203
1380,16.2,2837,점토,7.1,칼리,83.20,37.63,17.67,2042
613,16.0,1700,양토,7.0,질소,17.65,10.65,46.73,1779
1136,11.0,1799,점토,6.8,인산,43.47,22.71,33.67,1887
1368,14.6,,점토,6.8,인산,54.97,10.88,30.51,1970
785,13.6,2455,점토,6.2,인산,81.69,18.97,49.17,1763
1833,11.6,2316,사질토,6.6,복합,40.04,5.49,7.11,2588
625,15.0,1680,점토,7.3,복합,48.17,12.48,39.86,1536
1571,24.5,2730,점토,5.0,칼리,13.84,18.88,41.22,2055
1568,21.2,2639,양토,6.3,칼리,41.59,24.27,16.42,2663
572,19.7,1804,점토,6.2,인산,53.11,10.56,6.25,1321
899,16.0,2438,양토,6.1,질소,97.51,26.37,20.64,2076
1336,19.9,2734,사질토,7.3,질소,55.22,23.64,8.54,2263
1013,16.4,2848,양토,6.4,인산,37.78,17.11,19.70,2255
981,14.9,2306,점토,7.8,복합,53.10,12.01,29.03,1993
2041,,1485,양토,7.8,칼리,33.26,8.82,21.94,2426
1349,14.7,2860,사질토,5.4,질소,19.63,33.42,35.12,2264
1097,19.8,2054,사질토,6.7,인산,48.61,38.26,17.34,2089
1611,18.9,2053,양토,6.5,복합,14.31,39.74,33.29,2581
645,11.1,1692,사질토,6.3,인산,55.66,49.09,36.81,1705
1133,22.6,,점토,6.5,인산,59.41,40.03,33.86,1780
1942,17.3,1645,양토,5.9,질소,94.38,49.99,18.96,2773
1390,18.4,1602,사질토,5.6,칼리,99.59,29.61,19.28,1945
965,9.5,,사질토,6.4,인산,47.85,35.91,10.09,2026
615,21.4,2962,양토,6.8,질소,39.40,21.85,46.26,2220
1810,14.6,1791,양토,8.1,인산,35.22,47.88,9.42,2300
865,14.4,1832,양토,6.6,인산,18.14,13.44,8.48,1990
1922,18.4,2118,양토,6.6,질소,98.08,24.72,38.95,2454
701,17.1,2793,사질토,7.3,인산,16.87,11.39,9.26,2065
1582,9.5,2254,점토,4.8,질소,28.23,40.00,46.16,2175
1140,19.0,2883,사질토,5.3,질소,67.75,31.52,38.91,2092
785,14.5,2993,점토,5.9,질소,92.18,20.87,33.80,1815
1096,21.7,3009,양토,8.0,복합,39.99,29.09,44.22,2289
766,14.1,2038,점토,6.2,질소,21.99,26.52,10.91,1612
629,12.9,2591,양토,7.0,복합,60.02,8.08,41.83,2159
1700,18.7,2004,사질토,7.1,인산,54.68,16.27,7.90,2371
1586,20.5,2023,점토,7.2,복합,76.72,43.86,6.05,2146
1697,18.8,2426,점토,6.7,복합,44.28,36.51,9.74,2370
1566,22.7,2439,사질토,7.5,인산,40.79,43.99,24.02,2259
1321,22.7,2653,양토,7.1,인산,26.75,7.33,9.11,2292
1604,18.4,2515,사질토,6.3,칼리,78.65,39.03,38.22,2251
1239,18.0,1618,점토,7.4,질소,58.58,46.48,14.45,1909
628,16.5,1868,사질토,6.2,질소,86.56,31.87,8.54,1737
1838,19.7,2624,점토,7.2,인산,76.24,19.87,46.68,2152
1843,25.9,2274,점토,6.7,질소,33.40,6.12,5.66,2232
1902,17.2,1490,점토,5.9,복합,28.64,31.28,41.09,2225
1908,12.9,1978,점토,6.3,칼리,46.36,46.88,34.12,2234
1028,14.8,1607,점토,4.9,칼리,73.37,22.86,35.62,1736
1305,25.4,2824,점토,6.2,칼리,74.47,41.40,24.67,2187
549,16.5,2103,양토,7.2,복합,51.84,46.04,17.12,2198
1385,22.0,2331,사질토,7.0,칼리,78.67,31.22,21.70,2125
801,18.3,1641,양토,6.7,칼리,63.44,18.05,23.35,1959
1792,15.4,2589,양토,5.6,인산,24.81,41.76,16.87,2497
1368,13.3,2776,양토,6.5,복합,81.26,7.03,39.92,2590
1524,18.3,2768,사질토,5.3,칼리,17.29,15.38,44.56,2173
1303,13.7,2062,점토,7.0,인산,90.50,12.25,17.16,1881
796,21.4,1590,사질토,7.0,인산,24.26,15.70,18.01,1692
619,26.0,2146,사질토,6.7,질소,41.07,15.53,17.76,1890
950,21.5,2901,양토,6.3,인산,24.40,31.48,39.76,2203
1111,12.2,2625,사질토,6.2,칼리,34.81,16.85,49.83,2209
1911,18.7,1593,점토,7.1,복합,66.60,37.72,38.65,2130
691,19.7,1511,양토,6.9,인산,18.77,31.12,48.50,1813
1216,18.5,,사질토,6.2,칼리,18.92,38.59,7.41,2122
1670,23.7,2587,양토,7.3,복합,61.19,14.08,21.16,2607
565,12.1,1654,사질토,7.4,질소,48.36,28.77,14.89,1623
1596,12.5,2201,사질토,7.8,칼리,88.59,49.52,10.82,2175
1678,22.4,1900,사질토,6.6,인산,90.91,18.84,22.46,2302
1400,19.2,2967,양토,6.0,질소,69.60,9.26,48.00,2383
1362,17.1,2794,사질토,6.6,인산,84.12,44.11,18.03,2284
660,18.6,1814,점토,6.9,복합,28.89,45.26,36.06,1698
2000,20.0,2006,점토,6.3,복합,31.15,34.20,24.68,2386
1519,14.7,2271,양토,7.8,칼리,62.03,32.07,49.95,2351
1074,19.1,2808,점토,6.9,질소,89.51,35.51,6.49,1888
1388,19.2,,사질토,6.6,인산,57.59,29.10,33.91,2092
1868,24.7,1673,사질토,6.5,복합,59.93,42.05,26.41,2287
1216,18.3,2911,양토,6.5,질소,81.10,47.94,43.50,2544
1296,9.5,1820,점토,6.4,질소,55.76,43.49,18.14,1964
